 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	1.03125000e+00,	8.60610352e+03,	1.00000000e-04,	0,	inf,	1.44556902e+05,	3.56898479e+03,	
1,	1.02609972e+00,	3.29410445e+03,	1.00000000e-04,	0,	5.31199907e+03,	1.11659687e+04,	1.54588750e+03,	
2,	1.04837764e+00,	2.47457911e+03,	1.15000984e-04,	0,	8.19525338e+02,	7.56893142e+03,	9.47784005e+02,	
3,	1.02612976e+00,	1.73505065e+03,	3.40688733e-04,	0,	7.39528459e+02,	3.40512359e+03,	4.68284606e+02,	
4,	9.68825858e-01,	1.46047303e+03,	7.38352168e-04,	0,	2.74577624e+02,	1.23436028e+04,	2.75728933e+03,	
5,	9.74283428e-01,	1.41191103e+03,	4.53444180e-05,	3,	4.85619982e+01,	1.06342935e+04,	1.09836217e+03,	
6,	9.71793476e-01,	1.37839543e+03,	4.33622202e-05,	0,	3.35155953e+01,	4.55459380e+03,	3.79812166e+02,	
7,	9.67407131e-01,	1.35490695e+03,	4.68854178e-05,	0,	2.34884867e+01,	4.12967177e+03,	3.09182708e+02,	
8,	9.52344271e-01,	1.29165913e+03,	1.69942956e-04,	0,	6.32478122e+01,	3.18047690e+03,	2.75416303e+02,	
9,	8.83176696e-01,	1.13272478e+03,	1.29890334e-03,	1,	1.58934354e+02,	1.99464971e+04,	1.73388389e+03,	
10,	8.84209068e-01,	1.12764788e+03,	2.63791162e-05,	4,	5.07690092e+00,	4.51785934e+04,	1.26805392e+03,	
11,	8.84514767e-01,	1.10489640e+03,	1.93013791e-05,	0,	2.27514820e+01,	9.07288156e+03,	8.87514161e+02,	
12,	8.84475433e-01,	1.08572799e+03,	1.89335666e-05,	0,	1.91684101e+01,	5.87096885e+03,	3.08686500e+02,	
13,	8.83906923e-01,	1.08099494e+03,	2.04982817e-05,	0,	4.73304745e+00,	5.25471582e+03,	2.20344880e+02,	
14,	8.81297678e-01,	1.06751498e+03,	8.87560683e-05,	0,	1.34799615e+01,	3.95525969e+03,	1.68607197e+02,	
15,	8.71923131e-01,	1.03855081e+03,	2.78144998e-04,	0,	2.89641644e+01,	3.54958205e+03,	1.57083391e+02,	
16,	8.52306722e-01,	1.02749293e+03,	6.61789382e-04,	2,	1.10578835e+01,	3.27272751e+04,	1.14713767e+03,	
17,	8.50718042e-01,	1.02670016e+03,	8.47595349e-05,	0,	7.92771034e-01,	1.02277578e+04,	9.61523309e+02,	
18,	8.52088112e-01,	1.01636387e+03,	7.95570594e-05,	0,	1.03362858e+01,	4.63774337e+03,	4.27673879e+02,	
19,	8.53015714e-01,	1.00083273e+03,	7.63714399e-05,	0,	1.55311479e+01,	7.54687613e+03,	1.31466172e+02,	
20,	8.51254387e-01,	9.95127452e+02,	8.59235016e-05,	0,	5.70527385e+00,	7.49499027e+03,	1.21144067e+02,	
21,	8.40075289e-01,	9.69257343e+02,	5.74383801e-04,	1,	2.58701088e+01,	3.91148856e+03,	3.47082527e+02,	
22,	8.25838675e-01,	9.62250426e+02,	7.05787245e-04,	0,	7.00691727e+00,	4.50008172e+03,	3.37228585e+02,	
23,	8.29698277e-01,	9.52049888e+02,	2.65391339e-04,	1,	1.02005378e+01,	3.98792714e+03,	1.83606108e+02,	
24,	8.25550661e-01,	9.40409700e+02,	2.30530155e-04,	0,	1.16401884e+01,	5.64776780e+03,	9.59787007e+01,	
25,	8.19576053e-01,	9.28067202e+02,	3.49380107e-04,	0,	1.23424978e+01,	6.87224462e+03,	8.28573337e+01,	
26,	8.00502174e-01,	9.04090957e+02,	1.68988745e-03,	1,	2.39762449e+01,	3.93874067e+03,	2.97383506e+02,	
27,	8.02232944e-01,	8.98594878e+02,	2.22905421e-04,	2,	5.49607976e+00,	2.35014314e+03,	9.62160458e+01,	
28,	8.00456925e-01,	8.93638772e+02,	2.01546123e-04,	0,	4.95610583e+00,	2.33860760e+03,	6.21626952e+01,	
29,	7.97190066e-01,	8.87966851e+02,	3.87884882e-04,	0,	5.67192071e+00,	6.56033481e+03,	5.55080887e+01,	
30,	7.86101159e-01,	8.79793445e+02,	1.92681214e-03,	0,	8.17340579e+00,	5.65389018e+03,	5.47939455e+02,	
31,	7.85881536e-01,	8.72182493e+02,	9.95050613e-05,	2,	7.61095265e+00,	2.59940805e+03,	7.65584961e+01,	
32,	7.85647864e-01,	8.70651369e+02,	9.51115844e-05,	0,	1.53112324e+00,	6.43787917e+03,	4.72213884e+01,	
33,	7.84836725e-01,	8.69039124e+02,	1.78356452e-04,	0,	1.61224520e+00,	2.35148855e+03,	4.52397681e+01,	
34,	7.75190979e-01,	8.62846764e+02,	2.24735959e-03,	0,	6.19236015e+00,	1.01900167e+04,	7.96990856e+02,	
35,	7.75300490e-01,	8.60204496e+02,	6.48479433e-05,	2,	2.64226785e+00,	3.36057017e+03,	1.10063167e+02,	
