 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	9.00000000e-01,	1.43514905e-02,	-1.00000000e+00,	0,	inf,	6.98712899e-02,	2.26412687e-02,	
1,	9.00000000e-01,	1.24728896e-02,	1.25394923e+00,	0,	1.87860088e-03,	5.22236255e-02,	1.73290591e-02,	
2,	9.00000000e-01,	8.97595409e-03,	4.63817922e+00,	0,	3.49693551e-03,	2.91000607e-02,	9.66321157e-03,	
3,	9.00000000e-01,	6.70943210e-03,	9.67499370e+00,	0,	2.26652199e-03,	1.71736520e-02,	5.46126125e-03,	
4,	9.00000000e-01,	5.21542150e-03,	2.16039637e+01,	0,	1.49401060e-03,	1.01148895e-02,	2.79675685e-03,	
5,	9.00000000e-01,	4.45472846e-03,	4.30061340e+01,	0,	7.60693041e-04,	6.27933350e-03,	1.57878202e-03,	
6,	9.00000000e-01,	3.90719729e-03,	9.27805832e+01,	0,	5.47531167e-04,	4.94034301e-03,	1.05521499e-03,	
7,	9.00000000e-01,	3.35029637e-03,	2.47190388e+02,	0,	5.56900921e-04,	4.69465951e-03,	9.98088174e-04,	
8,	9.00000000e-01,	3.03581133e-03,	2.19057033e+02,	1,	3.14485038e-04,	5.15634682e-03,	1.15970916e-03,	
9,	9.00000000e-01,	2.79316137e-03,	2.22943399e+02,	0,	2.42649958e-04,	5.22952366e-03,	1.12829391e-03,	
10,	9.00000000e-01,	2.37208693e-03,	1.92884490e+02,	0,	4.21074443e-04,	4.22006811e-03,	7.44784696e-04,	
11,	9.00000000e-01,	2.09075138e-03,	2.29695145e+02,	0,	2.81335545e-04,	3.49760762e-03,	5.21852567e-04,	
12,	9.00000000e-01,	1.81950016e-03,	4.21805368e+02,	0,	2.71251219e-04,	2.91637049e-03,	3.76154530e-04,	
13,	9.00000000e-01,	1.47407140e-03,	1.63850539e+03,	0,	3.45428761e-04,	1.95678467e-03,	2.62627381e-04,	
14,	9.00000000e-01,	1.38795276e-03,	2.62780335e+03,	1,	8.61186389e-05,	1.59830521e-03,	2.72944632e-04,	
15,	9.00000000e-01,	1.31673235e-03,	2.30274035e+03,	0,	7.12204111e-05,	1.80983068e-03,	4.02975421e-04,	
16,	9.00000000e-01,	1.26512675e-03,	1.73690101e+03,	0,	5.16055992e-05,	1.11897589e-03,	1.08620322e-04,	
17,	9.00000000e-01,	1.23399134e-03,	1.97445047e+03,	0,	3.11354123e-05,	9.82695278e-04,	8.97893231e-05,	
18,	9.00000000e-01,	1.18839188e-03,	5.36443872e+03,	0,	4.55994664e-05,	7.54452755e-04,	1.03688491e-04,	
19,	9.00000000e-01,	1.17871782e-03,	4.71956964e+03,	1,	9.67405176e-06,	5.28460092e-04,	7.83060179e-05,	
20,	9.00000000e-01,	1.16170165e-03,	4.03058569e+03,	0,	1.70161737e-05,	4.18809977e-04,	5.88236521e-05,	
21,	9.00000000e-01,	1.14926946e-03,	5.25397301e+03,	0,	1.24321907e-05,	3.19285639e-04,	3.80415432e-05,	
22,	9.00000000e-01,	1.14482889e-03,	8.26053855e+03,	0,	4.44056502e-06,	2.41596906e-04,	3.23515461e-05,	
23,	9.00000000e-01,	1.14191523e-03,	7.64129798e+03,	0,	2.91366573e-06,	1.57018580e-04,	2.51310207e-05,	
24,	9.00000000e-01,	1.14020616e-03,	7.16729473e+03,	0,	1.70906956e-06,	1.26660497e-04,	2.38722431e-05,	
25,	9.00000000e-01,	1.13867145e-03,	1.13211354e+04,	0,	1.53471071e-06,	1.05643356e-04,	2.10116322e-05,	
26,	9.00000000e-01,	1.13803325e-03,	7.48023705e+03,	1,	6.38194801e-07,	9.70592647e-05,	1.99838625e-05,	
