 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	4.50000000e-01,	3.28487518e+04,	-1.00000000e+00,	0,	inf,	1.64964903e+06,	1.07156105e+04,	
1,	4.50265732e-01,	2.82691931e+04,	9.01529492e-09,	0,	4.57955869e+03,	7.43990231e+05,	1.08923853e+04,	
2,	4.50620287e-01,	2.61058765e+04,	1.49621487e-08,	0,	2.16331660e+03,	5.29230241e+05,	1.09784848e+04,	
3,	4.51644613e-01,	2.28695209e+04,	4.73136650e-08,	0,	3.23635561e+03,	3.19769057e+05,	1.10959978e+04,	
4,	4.53601266e-01,	2.00440276e+04,	1.06809564e-07,	0,	2.82549323e+03,	2.09247496e+05,	1.11600755e+04,	
5,	4.57974775e-01,	1.69069468e+04,	2.80036706e-07,	0,	3.13708086e+03,	1.31559935e+05,	1.11402628e+04,	
6,	4.66537978e-01,	1.38389443e+04,	6.78638805e-07,	0,	3.06800245e+03,	8.41138533e+04,	1.09014503e+04,	
7,	4.83200833e-01,	1.07041457e+04,	1.70307082e-06,	0,	3.13479859e+03,	5.17317863e+04,	1.00820534e+04,	
8,	5.11257034e-01,	7.90149147e+03,	4.06609730e-06,	0,	2.80265424e+03,	3.05256914e+04,	7.87465299e+03,	
9,	5.51107875e-01,	5.77176939e+03,	9.20758955e-06,	0,	2.12972208e+03,	1.83274599e+04,	4.89605790e+03,	
10,	6.00484478e-01,	4.28980575e+03,	2.02303166e-05,	0,	1.48196364e+03,	1.25051880e+04,	2.90465210e+03,	
11,	6.59694211e-01,	3.12039163e+03,	4.67411478e-05,	0,	1.16941412e+03,	9.79589424e+03,	1.75511180e+03,	
12,	7.20287974e-01,	2.13536625e+03,	1.19619797e-04,	0,	9.85025377e+02,	8.22143533e+03,	8.85366456e+02,	
13,	7.40771269e-01,	1.60762012e+03,	2.56190849e-04,	0,	5.27746131e+02,	8.94740640e+03,	6.88687720e+02,	
14,	7.40989628e-01,	1.53926740e+03,	6.73982456e-05,	4,	6.83527278e+01,	9.11222628e+03,	7.09678979e+02,	
15,	7.40767871e-01,	1.49906152e+03,	5.79073360e-05,	1,	4.02058712e+01,	9.70975344e+03,	1.10345294e+03,	
16,	7.40785943e-01,	1.48064241e+03,	1.65324522e-05,	2,	1.84191192e+01,	8.23651626e+03,	4.57681212e+02,	
17,	7.40496622e-01,	1.46263063e+03,	2.11826558e-05,	0,	1.80117741e+01,	8.13796780e+03,	4.25611112e+02,	
18,	7.37914962e-01,	1.30299421e+03,	4.65675501e-04,	0,	1.59636422e+02,	2.24684108e+04,	1.22140467e+03,	
19,	7.37879271e-01,	1.28430967e+03,	1.77066990e-06,	7,	1.86845435e+01,	1.20137904e+04,	1.01535901e+03,	
20,	7.37823078e-01,	1.27708618e+03,	2.10697873e-06,	0,	7.22348622e+00,	8.84842256e+03,	8.00175514e+02,	
21,	7.37707175e-01,	1.27230703e+03,	3.59699404e-06,	0,	4.77915203e+00,	8.34323123e+03,	6.51351705e+02,	
