 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	1.50000000e+00,	4.58287571e-02,	1.00000000e+00,	0,	inf,	8.62383346e-02,	3.04897385e-02,	
1,	1.50000000e+00,	4.15882311e-02,	1.00000000e+00,	0,	4.24052601e-03,	7.14251286e-02,	2.51716745e-02,	
2,	1.50000000e+00,	2.94007182e-02,	5.62601220e+00,	0,	1.21875129e-02,	3.76268432e-02,	1.25210625e-02,	
3,	1.50000000e+00,	2.30543051e-02,	1.11201522e+01,	0,	6.34641309e-03,	2.42940602e-02,	7.08023858e-03,	
4,	1.50000000e+00,	1.87567848e-02,	2.90832837e+01,	0,	4.29752033e-03,	1.59877110e-02,	3.22909517e-03,	
5,	1.50000000e+00,	1.68047593e-02,	6.57529925e+01,	0,	1.95202550e-03,	1.31319822e-02,	1.72396125e-03,	
6,	1.50000000e+00,	1.49726190e-02,	1.88960134e+02,	0,	1.83214030e-03,	9.01669001e-03,	1.33401753e-03,	
7,	1.50000000e+00,	1.40786640e-02,	2.49255519e+02,	1,	8.93954910e-04,	7.96014863e-03,	1.34108602e-03,	
8,	1.50000000e+00,	1.35096085e-02,	3.12714788e+02,	0,	5.69055542e-04,	7.93704651e-03,	1.67973760e-03,	
9,	1.50000000e+00,	1.27628992e-02,	2.13029275e+02,	0,	7.46709308e-04,	6.68264438e-03,	1.22454796e-03,	
10,	1.50000000e+00,	1.20126809e-02,	1.68461231e+02,	0,	7.50218267e-04,	5.44992737e-03,	7.17020791e-04,	
11,	1.50000000e+00,	1.16366081e-02,	1.77832282e+02,	0,	3.76072838e-04,	4.88705424e-03,	5.31824525e-04,	
12,	1.50000000e+00,	1.11054271e-02,	4.35211107e+02,	0,	5.31181018e-04,	4.31994210e-03,	5.42238599e-04,	
13,	1.50000000e+00,	9.88360038e-03,	4.76947543e+03,	0,	1.22182669e-03,	3.74221241e-03,	7.34190272e-04,	
14,	1.50000000e+00,	9.57848144e-03,	6.47121841e+03,	1,	3.05118939e-04,	5.80422001e-03,	1.71154077e-03,	
15,	1.50000000e+00,	9.17109153e-03,	3.87431805e+03,	0,	4.07389914e-04,	9.26558464e-04,	8.48685826e-05,	
16,	1.50000000e+00,	9.10961825e-03,	3.90631316e+03,	0,	6.14732799e-05,	6.17220428e-04,	4.70760680e-05,	
17,	1.50000000e+00,	9.03646860e-03,	1.44478805e+04,	0,	7.31496480e-05,	2.93343833e-04,	2.84311175e-05,	
18,	1.50000000e+00,	8.99699585e-03,	3.68757294e+04,	2,	3.94727478e-05,	3.08555245e-04,	3.52425476e-05,	
19,	1.50000000e+00,	8.97170877e-03,	4.30932976e+04,	0,	2.52870825e-05,	1.09220150e-04,	1.32182219e-05,	
20,	1.50000000e+00,	8.95924049e-03,	3.96769944e+04,	0,	1.24682788e-05,	6.70223982e-05,	8.89476553e-06,	
21,	1.50000000e+00,	8.95541235e-03,	4.77128049e+04,	0,	3.82814307e-06,	4.91919563e-05,	8.44127507e-06,	
22,	1.50000000e+00,	8.95333555e-03,	4.82309084e+04,	0,	2.07679891e-06,	4.57894657e-05,	9.13812601e-06,	
23,	1.50000000e+00,	8.95079497e-03,	4.69044850e+04,	0,	2.54057706e-06,	3.62817913e-05,	8.38917700e-06,	
24,	1.50000000e+00,	8.95026545e-03,	8.41368172e+03,	2,	5.29516169e-07,	3.37520153e-05,	7.41905744e-06,	
