 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	6.00000000e-01,	2.33067972e-01,	1.00000000e+00,	0,	inf,	4.00135853e+00,	1.29632720e+00,	
1,	6.00000000e-01,	-2.68509522e-08,	1.00000000e+00,	0,	2.33067999e-01,	1.64227386e-05,	6.99638937e-05,	
2,	6.00000000e-01,	9.65997052e-09,	9.31322952e-10,	30,	-3.65109227e-08,	1.61316872e-05,	7.01393504e-05,	
3,	6.00000000e-01,	9.65997052e-09,	2.60402352e-07,	0,	0.00000000e+00,	1.61316873e-05,	7.00895626e-05,	
4,	6.00000148e-01,	9.60321719e-09,	1.53062265e+01,	0,	5.67533282e-11,	1.77651964e-05,	6.98962020e-05,	
5,	6.00108870e-01,	9.04665269e-11,	8.04442585e+03,	0,	9.51275066e-09,	6.79041127e-06,	6.99882235e-05,	
6,	6.00197205e-01,	-2.97725701e-09,	1.84730872e+04,	0,	3.06772354e-09,	5.51562604e-06,	6.96771707e-05,	
7,	6.10815209e-01,	-3.57308470e-04,	2.90316945e+05,	0,	3.57305493e-04,	3.91548260e-02,	6.71870207e-03,	
8,	6.69677889e-01,	-1.02602055e-01,	2.04055601e+02,	0,	1.02244746e-01,	9.97281582e-01,	2.98266142e-01,	
9,	1.06174853e+00,	-8.13298205e-01,	2.60045639e+01,	0,	7.10696150e-01,	4.09306851e+00,	4.03068764e-01,	
10,	1.19235636e+00,	-1.37663594e+00,	1.26390468e+02,	0,	5.63337733e-01,	5.11101424e+00,	1.46740844e-01,	
11,	1.24007222e+00,	-1.79109284e+00,	1.82342318e+02,	0,	4.14456902e-01,	5.80024668e+00,	3.57543001e-02,	
12,	1.34088437e+00,	-2.06130646e+00,	4.42020351e+02,	0,	2.70213621e-01,	7.36521203e+00,	1.75760148e-02,	
13,	1.41740271e+00,	-2.14892225e+00,	5.28928832e+02,	0,	8.76157868e-02,	7.89875331e+00,	8.59868725e-03,	
14,	1.49079836e+00,	-2.20091180e+00,	1.51205360e+03,	0,	5.19895561e-02,	8.17026061e+00,	2.11832934e-03,	
15,	1.55330242e+00,	-2.22423066e+00,	4.07486122e+03,	0,	2.33188585e-02,	8.51962033e+00,	8.14002387e-04,	
16,	1.60684444e+00,	-2.23430047e+00,	1.25232580e+04,	0,	1.00698038e-02,	8.55663908e+00,	8.16121185e-04,	
17,	1.68255923e+00,	-2.24079250e+00,	3.33964412e+04,	0,	6.49203752e-03,	8.61904849e+00,	9.12109688e-05,	
18,	1.70065608e+00,	-2.24469544e+00,	6.55021551e+04,	0,	3.90293625e-03,	8.69448187e+00,	6.26440423e-05,	
19,	1.70993057e+00,	-2.24724966e+00,	1.19854789e+05,	0,	2.55421896e-03,	8.71625875e+00,	2.70209541e-05,	
20,	1.71584514e+00,	-2.24917882e+00,	2.33668135e+05,	0,	1.92916004e-03,	8.75087380e+00,	1.56919990e-05,	
21,	1.71837690e+00,	-2.25106977e+00,	5.46600279e+05,	0,	1.89095303e-03,	8.72557379e+00,	3.09397732e-06,	
22,	1.71961116e+00,	-2.25229082e+00,	1.03536387e+06,	0,	1.22105150e-03,	8.75653033e+00,	4.07012846e-06,	
23,	1.72027588e+00,	-2.25371893e+00,	2.61539383e+06,	0,	1.42810802e-03,	8.76381908e+00,	2.49205738e-07,	
24,	1.72024536e+00,	-2.25443995e+00,	4.24476133e+06,	0,	7.21019903e-04,	8.78705760e+00,	7.69617184e-16,	
25,	1.72041321e+00,	-2.25533419e+00,	1.45240091e+07,	0,	8.94236871e-04,	8.72469365e+00,	0.00000000e+00,	
26,	1.72027588e+00,	-2.25573066e+00,	1.94536425e+07,	0,	3.96472758e-04,	8.80700514e+00,	0.00000000e+00,	
27,	1.71984863e+00,	-2.25640949e+00,	7.47457280e+07,	0,	6.78829958e-04,	8.78026587e+00,	2.81944389e-99,	
28,	1.71978760e+00,	-2.25677666e+00,	1.25325841e+08,	0,	3.67169573e-04,	8.80674507e+00,	0.00000000e+00,	
29,	1.71955872e+00,	-2.25733465e+00,	4.97794061e+08,	0,	5.57991589e-04,	8.83237465e+00,	0.00000000e+00,	
30,	1.71943665e+00,	-2.25769952e+00,	1.67374076e+09,	0,	3.64863071e-04,	8.82349742e+00,	0.00000000e+00,	
31,	1.71888733e+00,	-2.25802052e+00,	4.69882558e+09,	0,	3.21001797e-04,	8.82542333e+00,	0.00000000e+00,	
32,	1.71881104e+00,	-2.25834867e+00,	7.20238820e+10,	0,	3.28148513e-04,	8.83747954e+00,	0.00000000e+00,	
33,	1.71830750e+00,	-2.25854524e+00,	2.42795582e+11,	0,	1.96577686e-04,	8.80938822e+00,	0.00000000e+00,	
34,	1.71820068e+00,	-2.25858286e+00,	4.11375072e+11,	0,	3.76172921e-05,	8.84401170e+00,	0.00000000e+00,	
35,	1.71812439e+00,	-2.25863448e+00,	4.61588732e+11,	0,	5.16152398e-05,	8.78233653e+00,	0.00000000e+00,	
36,	1.71815491e+00,	-2.25864264e+00,	2.98062127e+11,	1,	8.16884423e-06,	8.79760759e+00,	0.00000000e+00,	
37,	1.71800232e+00,	-2.25864775e+00,	1.10046273e+12,	0,	5.10811863e-06,	8.83971919e+00,	0.00000000e+00,	
38,	1.71797180e+00,	-2.25874146e+00,	1.18773668e+12,	0,	9.37116334e-05,	8.82337433e+00,	0.00000000e+00,	
39,	1.71792603e+00,	-2.25878545e+00,	1.98694468e+12,	0,	4.39881470e-05,	8.77739992e+00,	0.00000000e+00,	
40,	1.71775818e+00,	-2.25879851e+00,	2.90901838e+12,	0,	1.30581420e-05,	8.81629196e+00,	0.00000000e+00,	
41,	1.71772766e+00,	-2.25883190e+00,	2.60889219e+12,	0,	3.33904878e-05,	8.85514954e+00,	0.00000000e+00,	
42,	1.71772766e+00,	-2.25883190e+00,	6.44047286e+10,	5,	1.39208645e-10,	8.84521390e+00,	0.00000000e+00,	
