 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	9.00000000e-01,	1.43514905e-02,	-1.00000000e+00,	0,	inf,	6.98712899e-02,	2.26412687e-02,	
1,	9.00000000e-01,	1.24728896e-02,	1.25394923e+00,	0,	1.87860088e-03,	5.22236255e-02,	1.73290591e-02,	
2,	9.00000000e-01,	8.97595409e-03,	4.63817922e+00,	0,	3.49693551e-03,	2.91000607e-02,	9.66321157e-03,	
3,	9.00000000e-01,	6.70943210e-03,	9.67499370e+00,	0,	2.26652199e-03,	1.71736520e-02,	5.46126125e-03,	
4,	9.00000000e-01,	5.21542150e-03,	2.16039637e+01,	0,	1.49401060e-03,	1.01148895e-02,	2.79675685e-03,	
5,	9.00000000e-01,	4.45472846e-03,	4.30061340e+01,	0,	7.60693041e-04,	6.27933350e-03,	1.57878202e-03,	
6,	9.00000000e-01,	3.90719729e-03,	9.27805832e+01,	0,	5.47531167e-04,	4.94034301e-03,	1.05521499e-03,	
7,	9.00000000e-01,	3.35029637e-03,	2.47190388e+02,	0,	5.56900921e-04,	4.69465951e-03,	9.98088174e-04,	
8,	9.00000000e-01,	3.03581133e-03,	2.19057033e+02,	1,	3.14485038e-04,	5.15634682e-03,	1.15970916e-03,	
9,	9.00000000e-01,	2.75769190e-03,	1.11471700e+02,	1,	2.78119433e-04,	4.40199409e-03,	7.72523461e-04,	
10,	9.00000000e-01,	2.53210476e-03,	1.39648013e+02,	0,	2.25587133e-04,	4.12889928e-03,	6.45470313e-04,	
11,	9.00000000e-01,	2.07011521e-03,	4.66398434e+02,	0,	4.61989552e-04,	3.46551510e-03,	5.49894789e-04,	
12,	9.00000000e-01,	1.87711989e-03,	1.78033695e+03,	0,	1.92995318e-04,	7.44863542e-03,	2.01766371e-03,	
13,	9.00000000e-01,	1.52495637e-03,	1.05980136e+03,	0,	3.52163527e-04,	3.04247599e-03,	5.82392238e-04,	
14,	9.00000000e-01,	1.45802732e-03,	1.20510807e+02,	3,	6.69290481e-05,	1.77640986e-03,	2.29013119e-04,	
15,	9.00000000e-01,	1.43753607e-03,	1.35172708e+02,	0,	2.04912537e-05,	1.67484591e-03,	1.92010725e-04,	
16,	9.00000000e-01,	1.37985314e-03,	6.74014993e+02,	0,	5.76829206e-05,	1.50658876e-03,	1.43348628e-04,	
17,	9.00000000e-01,	1.30422053e-03,	2.80025072e+03,	0,	7.56326133e-05,	1.19015675e-03,	1.05961413e-04,	
18,	9.00000000e-01,	1.26033180e-03,	3.04058235e+03,	2,	4.38887322e-05,	1.04489748e-03,	1.23993815e-04,	
19,	9.00000000e-01,	1.23100855e-03,	5.12412429e+03,	0,	2.93232518e-05,	9.00056767e-04,	1.43683752e-04,	
20,	9.00000000e-01,	1.21305745e-03,	4.19236771e+03,	0,	1.79511020e-05,	6.58870521e-04,	1.09074355e-04,	
21,	9.00000000e-01,	1.19829122e-03,	3.42225104e+03,	0,	1.47662272e-05,	4.94283467e-04,	7.89744394e-05,	
22,	9.00000000e-01,	1.18835536e-03,	2.84101291e+03,	0,	9.93586128e-06,	3.91904305e-04,	4.81061570e-05,	
23,	9.00000000e-01,	1.17112034e-03,	3.90326128e+03,	0,	1.72350191e-05,	3.38995182e-04,	4.87991810e-05,	
24,	9.00000000e-01,	1.16134822e-03,	9.94911125e+03,	3,	9.77211362e-06,	3.64395936e-04,	8.38348050e-05,	
25,	9.00000000e-01,	1.15381104e-03,	6.75818644e+03,	0,	7.53718799e-06,	1.88105665e-04,	2.84914205e-05,	
26,	9.00000000e-01,	1.14918132e-03,	5.81488321e+03,	0,	4.62971635e-06,	1.59044550e-04,	2.48763401e-05,	
27,	9.00000000e-01,	1.14546749e-03,	9.46030209e+03,	0,	3.71383105e-06,	1.37705251e-04,	2.50972858e-05,	
28,	9.00000000e-01,	1.14299123e-03,	6.49723950e+03,	1,	2.47626039e-06,	1.26358836e-04,	2.43356619e-05,	
29,	9.00000000e-01,	1.14112079e-03,	5.88802119e+03,	0,	1.87043457e-06,	1.16361200e-04,	2.57291838e-05,	
30,	9.00000000e-01,	1.14000325e-03,	2.02200730e+03,	1,	1.11754466e-06,	1.01161518e-04,	2.13273201e-05,	
31,	9.00000000e-01,	1.13951726e-03,	2.04906682e+03,	0,	4.85984870e-07,	9.63414480e-05,	1.96116231e-05,	
