            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2
             0,	8.99641559e-01,	1.55880268e-02,	1.00000000e+00,	             0,	           inf,	7.52308829e-02
             1,	8.24952682e-01,	1.08278933e-02,	1.00000000e+00,	             0,	4.76013356e-03,	4.46644065e-02
             2,	8.63862769e-01,	7.38639426e-03,	1.00000000e+00,	             0,	3.44149903e-03,	2.54164095e-02
             3,	8.79228517e-01,	5.91920235e-03,	1.00000000e+00,	             0,	1.46719191e-03,	1.51345081e-02
             4,	8.85946880e-01,	5.10997982e-03,	1.00000000e+00,	             0,	8.09222529e-04,	1.04494723e-02
             5,	8.88824941e-01,	4.59298533e-03,	1.00000000e+00,	             0,	5.16994495e-04,	8.20084655e-03
             6,	8.90653300e-01,	4.21400531e-03,	1.00000000e+00,	             0,	3.78980023e-04,	6.85063544e-03
             7,	8.91566757e-01,	3.90938948e-03,	1.00000000e+00,	             0,	3.04615831e-04,	6.11232190e-03
             8,	8.92753395e-01,	3.66462508e-03,	1.00000000e+00,	             0,	2.44764399e-04,	5.28796643e-03
             9,	8.93544418e-01,	3.46603519e-03,	1.00000000e+00,	             0,	1.98589881e-04,	4.73799605e-03
            10,	8.93981959e-01,	3.29879754e-03,	1.00000000e+00,	             0,	1.67237658e-04,	4.42007170e-03
            11,	8.94045996e-01,	3.14743801e-03,	1.00000000e+00,	             0,	1.51359527e-04,	4.35187404e-03
            12,	8.93475390e-01,	2.99700806e-03,	1.00000000e+00,	             0,	1.50429949e-04,	4.68846234e-03
            13,	8.92259565e-01,	2.82987096e-03,	1.00000000e+00,	             0,	1.67137102e-04,	5.44811047e-03
            14,	8.91839384e-01,	2.66000367e-03,	1.00000000e+00,	             0,	1.69867293e-04,	5.29996029e-03
            15,	8.90154878e-01,	2.48458989e-03,	1.00000000e+00,	             0,	1.75413776e-04,	4.60062443e-03
            16,	8.88551751e-01,	2.30451111e-03,	1.00000000e+00,	             0,	1.80078782e-04,	3.90557625e-03
            17,	8.87120522e-01,	2.12687623e-03,	1.00000000e+00,	             0,	1.77634876e-04,	3.27889992e-03
            18,	8.85965336e-01,	1.95452695e-03,	1.00000000e+00,	             0,	1.72349281e-04,	2.67110030e-03
            19,	8.86566342e-01,	1.81053023e-03,	1.00000000e+00,	             0,	1.43996721e-04,	2.13283107e-03
            20,	8.87940862e-01,	1.69544990e-03,	1.00000000e+00,	             0,	1.15080333e-04,	1.78473906e-03
            21,	8.89343083e-01,	1.60270626e-03,	1.00000000e+00,	             0,	9.27436379e-05,	1.49253919e-03
            22,	8.90771528e-01,	1.53070318e-03,	1.00000000e+00,	             0,	7.20030744e-05,	1.24215702e-03
            23,	8.91708566e-01,	1.47075515e-03,	1.00000000e+00,	             0,	5.99480347e-05,	1.07872983e-03
            24,	8.93030352e-01,	1.42220085e-03,	1.00000000e+00,	             0,	4.85543015e-05,	9.52077582e-04
            25,	8.94662796e-01,	1.38418298e-03,	1.00000000e+00,	             0,	3.80178647e-05,	8.27552480e-04
            26,	8.95841590e-01,	1.35673003e-03,	1.00000000e+00,	             0,	2.74529529e-05,	7.95175693e-04
            27,	8.96565911e-01,	1.33295850e-03,	1.00000000e+00,	             0,	2.37715348e-05,	7.55292921e-04
            28,	8.97133743e-01,	1.31417031e-03,	1.00000000e+00,	             0,	1.87881827e-05,	7.22289806e-04
            29,	8.97570501e-01,	1.29793943e-03,	1.00000000e+00,	             0,	1.62308785e-05,	6.73683795e-04
            30,	8.98164272e-01,	1.28592438e-03,	1.00000000e+00,	             0,	1.20150524e-05,	6.47369889e-04
            31,	8.98469779e-01,	1.27622296e-03,	1.00000000e+00,	             0,	9.70142545e-06,	6.30529572e-04
            32,	8.98719707e-01,	1.26802442e-03,	1.00000000e+00,	             0,	8.19853459e-06,	6.21684190e-04
            33,	8.99059736e-01,	1.26191510e-03,	1.00000000e+00,	             0,	6.10932522e-06,	5.97508743e-04
            34,	8.99204649e-01,	1.25699861e-03,	1.00000000e+00,	             0,	4.91649064e-06,	5.84400706e-04
            35,	8.99280044e-01,	1.25265072e-03,	1.00000000e+00,	             0,	4.34789023e-06,	5.79025631e-04
            36,	8.99334559e-01,	1.24858666e-03,	1.00000000e+00,	             0,	4.06405253e-06,	5.75456328e-04
            37,	8.99365003e-01,	1.24468480e-03,	1.00000000e+00,	             0,	3.90186203e-06,	5.69780322e-04
            38,	8.99485134e-01,	1.24126604e-03,	1.00000000e+00,	             0,	3.41876123e-06,	5.47087144e-04
            39,	8.99534183e-01,	1.23840122e-03,	1.00000000e+00,	             0,	2.86482550e-06,	5.29474116e-04
            40,	8.99539951e-01,	1.23565993e-03,	1.00000000e+00,	             0,	2.74128848e-06,	5.14056333e-04
            41,	8.99467061e-01,	1.23266566e-03,	1.00000000e+00,	             0,	2.99426181e-06,	5.01249916e-04
            42,	8.99425497e-01,	1.22971322e-03,	1.00000000e+00,	             0,	2.95244397e-06,	4.94250489e-04
            43,	8.99740218e-01,	1.22775716e-03,	1.00000000e+00,	             0,	1.95606330e-06,	4.58535995e-04
            44,	8.99810649e-01,	1.22659179e-03,	1.00000000e+00,	             0,	1.16536259e-06,	4.52291788e-04
            45,	8.99839204e-01,	1.22562805e-03,	1.00000000e+00,	             0,	9.63741504e-07,	4.36407226e-04
            46,	8.99852887e-01,	1.22474863e-03,	1.00000000e+00,	             0,	8.79423787e-07,	4.26716180e-04
            47,	8.99864669e-01,	1.22392009e-03,	1.00000000e+00,	             0,	8.28535671e-07,	4.17624817e-04
            48,	8.99871345e-01,	1.22313174e-03,	1.00000000e+00,	             0,	7.88350412e-07,	4.11935674e-04
            49,	8.99881338e-01,	1.22238512e-03,	1.00000000e+00,	             0,	7.46621870e-07,	4.03174827e-04
            50,	8.99905628e-01,	1.22172954e-03,	1.00000000e+00,	             0,	6.55581598e-07,	3.82682035e-04
            51,	8.99929469e-01,	1.22124386e-03,	1.00000000e+00,	             0,	4.85676826e-07,	3.60636178e-04
            52,	8.99937545e-01,	1.22085390e-03,	1.00000000e+00,	             0,	3.89965787e-07,	3.53331942e-04
            53,	8.99945502e-01,	1.22051158e-03,	1.00000000e+00,	             0,	3.42313011e-07,	3.46061455e-04
            54,	8.99951510e-01,	1.22020846e-03,	1.00000000e+00,	             0,	3.03127339e-07,	3.40609240e-04
            55,	8.99956083e-01,	1.21993663e-03,	1.00000000e+00,	             0,	2.71831011e-07,	3.36499514e-04
            56,	8.99962438e-01,	1.21969513e-03,	1.00000000e+00,	             0,	2.41491433e-07,	3.30888637e-04
            57,	8.99965991e-01,	1.21948395e-03,	1.00000000e+00,	             0,	2.11181433e-07,	3.27749922e-04
            58,	8.99968330e-01,	1.21928888e-03,	1.00000000e+00,	             0,	1.95072943e-07,	3.25797436e-04
            59,	8.99971783e-01,	1.21911055e-03,	1.00000000e+00,	             0,	1.78332400e-07,	3.22857947e-04
            60,	8.99974481e-01,	1.21895028e-03,	1.00000000e+00,	             0,	1.60263148e-07,	3.20529701e-04
            61,	8.99977459e-01,	1.21880702e-03,	1.00000000e+00,	             0,	1.43265452e-07,	3.17986958e-04
            62,	8.99977824e-01,	1.21867280e-03,	1.00000000e+00,	             0,	1.34221387e-07,	3.17641629e-04
            63,	8.99979871e-01,	1.21854660e-03,	1.00000000e+00,	             0,	1.26195072e-07,	3.15812636e-04
            64,	8.99980901e-01,	1.21842989e-03,	1.00000000e+00,	             0,	1.16708278e-07,	3.14767832e-04
            65,	8.99982568e-01,	1.21832237e-03,	1.00000000e+00,	             0,	1.07527269e-07,	3.13164062e-04
            66,	8.99983381e-01,	1.21822024e-03,	1.00000000e+00,	             0,	1.02131943e-07,	3.12403116e-04
            67,	8.99984575e-01,	1.21812298e-03,	1.00000000e+00,	             0,	9.72515053e-08,	3.11263276e-04
            68,	8.99984758e-01,	1.21803015e-03,	1.00000000e+00,	             0,	9.28360728e-08,	3.11037815e-04
            69,	8.99984978e-01,	1.21793886e-03,	1.00000000e+00,	             0,	9.12890884e-08,	3.10776626e-04
            70,	8.99985051e-01,	1.21784830e-03,	1.00000000e+00,	             0,	9.05540117e-08,	3.10618010e-04
            71,	8.99985551e-01,	1.21776019e-03,	1.00000000e+00,	             0,	8.81097987e-08,	3.10113005e-04
            72,	8.99985853e-01,	1.21767471e-03,	1.00000000e+00,	             0,	8.54837350e-08,	3.09790522e-04
            73,	8.99987113e-01,	1.21759384e-03,	1.00000000e+00,	             0,	8.08679591e-08,	3.08665848e-04
            74,	8.99987436e-01,	1.21751794e-03,	1.00000000e+00,	             0,	7.58995296e-08,	3.08401373e-04
            75,	8.99987208e-01,	1.21744216e-03,	1.00000000e+00,	             0,	7.57883750e-08,	3.08531643e-04
            76,	8.99986814e-01,	1.21736416e-03,	1.00000000e+00,	             0,	7.79925875e-08,	3.08791560e-04
