            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2
             0,	9.00000000e-01,	1.55694103e-02,	5.00000000e-01,	             0,	           inf,	7.51146283e-02
             1,	8.99999998e-01,	9.46468444e-03,	5.00000000e-01,	             0,	6.10472588e-03,	4.80462915e-02
             2,	9.00000001e-01,	5.66526228e-03,	5.00000000e-01,	             0,	3.79942215e-03,	1.94682451e-02
             3,	9.00000003e-01,	4.43677363e-03,	5.00000000e-01,	             0,	1.22848866e-03,	1.26349859e-02
             4,	8.99999999e-01,	3.86288129e-03,	5.00000000e-01,	             0,	5.73892338e-04,	8.05399419e-03
             5,	8.99999998e-01,	3.38052932e-03,	5.00000000e-01,	             0,	4.82351970e-04,	6.49356365e-03
             6,	9.00000003e-01,	3.05809093e-03,	5.00000000e-01,	             0,	3.22438390e-04,	4.67053261e-03
             7,	9.00000000e-01,	2.72804302e-03,	5.00000000e-01,	             0,	3.30047912e-04,	3.77364634e-03
             8,	9.00000000e-01,	2.38849730e-03,	5.00000000e-01,	             0,	3.39545712e-04,	2.74324271e-03
             9,	9.00000002e-01,	2.09038467e-03,	5.00000000e-01,	             0,	2.98112632e-04,	2.09592935e-03
            10,	9.00000003e-01,	1.82734787e-03,	5.00000000e-01,	             0,	2.63036801e-04,	1.30534153e-03
            11,	9.00000002e-01,	1.66609685e-03,	5.00000000e-01,	             0,	1.61251017e-04,	1.05722111e-03
            12,	8.99999999e-01,	1.55507903e-03,	5.00000000e-01,	             0,	1.11017829e-04,	7.90225818e-04
            13,	8.99999999e-01,	1.48698406e-03,	5.00000000e-01,	             0,	6.80949702e-05,	6.42018533e-04
            14,	9.00000001e-01,	1.43362932e-03,	5.00000000e-01,	             0,	5.33547325e-05,	5.77477496e-04
            15,	8.99999999e-01,	1.39847285e-03,	5.00000000e-01,	             0,	3.51564716e-05,	4.97939874e-04
            16,	9.00000002e-01,	1.37311417e-03,	5.00000000e-01,	             0,	2.53586857e-05,	4.22273064e-04
            17,	9.00000000e-01,	1.35194195e-03,	5.00000000e-01,	             0,	2.11722202e-05,	3.93985100e-04
            18,	8.99999999e-01,	1.33286142e-03,	5.00000000e-01,	             0,	1.90805282e-05,	3.66167423e-04
            19,	8.99999999e-01,	1.31717186e-03,	5.00000000e-01,	             0,	1.56895583e-05,	3.33618738e-04
            20,	8.99999999e-01,	1.30709140e-03,	5.00000000e-01,	             0,	1.00804621e-05,	2.81854850e-04
            21,	9.00000000e-01,	1.29947041e-03,	5.00000000e-01,	             0,	7.62098435e-06,	2.67960307e-04
            22,	9.00000000e-01,	1.29257325e-03,	5.00000000e-01,	             0,	6.89715958e-06,	2.55275119e-04
            23,	9.00000000e-01,	1.28622376e-03,	5.00000000e-01,	             0,	6.34949347e-06,	2.44637275e-04
            24,	9.00000000e-01,	1.28010327e-03,	5.00000000e-01,	             0,	6.12049318e-06,	2.35695135e-04
            25,	9.00000000e-01,	1.27390577e-03,	5.00000000e-01,	             0,	6.19749955e-06,	2.23854287e-04
            26,	8.99999999e-01,	1.26892558e-03,	5.00000000e-01,	             0,	4.98018903e-06,	1.97327364e-04
            27,	9.00000000e-01,	1.26625479e-03,	5.00000000e-01,	             0,	2.67078313e-06,	1.79993703e-04
            28,	9.00000000e-01,	1.26394129e-03,	5.00000000e-01,	             0,	2.31350877e-06,	1.72019601e-04
            29,	8.99999999e-01,	1.26185485e-03,	5.00000000e-01,	             0,	2.08643519e-06,	1.65082315e-04
            30,	9.00000000e-01,	1.25993266e-03,	5.00000000e-01,	             0,	1.92218574e-06,	1.58781788e-04
            31,	9.00000000e-01,	1.25813791e-03,	5.00000000e-01,	             0,	1.79475693e-06,	1.52911036e-04
            32,	9.00000000e-01,	1.25645614e-03,	5.00000000e-01,	             0,	1.68176731e-06,	1.47952728e-04
            33,	9.00000000e-01,	1.25493469e-03,	5.00000000e-01,	             0,	1.52144717e-06,	1.42241980e-04
            34,	9.00000000e-01,	1.25343650e-03,	5.00000000e-01,	             0,	1.49818887e-06,	1.39029155e-04
            35,	9.00000000e-01,	1.25182539e-03,	5.00000000e-01,	             0,	1.61111572e-06,	1.35266854e-04
            36,	9.00000000e-01,	1.25004591e-03,	5.00000000e-01,	             0,	1.77947809e-06,	1.31814688e-04
            37,	9.00000000e-01,	1.24810205e-03,	5.00000000e-01,	             0,	1.94385832e-06,	1.26452096e-04
            38,	9.00000000e-01,	1.24632294e-03,	5.00000000e-01,	             0,	1.77910822e-06,	1.16052131e-04
            39,	9.00000000e-01,	1.24559955e-03,	5.00000000e-01,	             0,	7.23391929e-07,	1.05326776e-04
            40,	9.00000000e-01,	1.24500895e-03,	5.00000000e-01,	             0,	5.90602155e-07,	1.03679264e-04
            41,	9.00000000e-01,	1.24444695e-03,	5.00000000e-01,	             0,	5.61995767e-07,	1.02177887e-04
            42,	9.00000000e-01,	1.24391787e-03,	5.00000000e-01,	             0,	5.29079135e-07,	1.00989539e-04
            43,	9.00000000e-01,	1.24342133e-03,	5.00000000e-01,	             0,	4.96543140e-07,	9.95570858e-05
            44,	9.00000000e-01,	1.24295759e-03,	5.00000000e-01,	             0,	4.63745264e-07,	9.72477991e-05
            45,	9.00000000e-01,	1.24252255e-03,	5.00000000e-01,	             0,	4.35039380e-07,	9.45998895e-05
            46,	9.00000000e-01,	1.24211029e-03,	5.00000000e-01,	             0,	4.12258677e-07,	9.11236404e-05
            47,	9.00000000e-01,	1.24171210e-03,	5.00000000e-01,	             0,	3.98192765e-07,	8.70000578e-05
