            it,	        volume,	           obj,	     step-size,	    num-reeval,	  succ-objdiff,	     stnrty-L2,	           kkt,	    tot_reeval,	volume_correction,	       penalty
             0,	6.00000000e-01,	1.44146311e+04,	-1.00000000e+00,	             0,	           inf,	6.92764038e-01,	5.70253400e+04,	             0,	0.00000000e+00,	0.00000000e+00
             1,	6.00000000e-01,	1.24184693e+04,	2.26513239e-07,	             0,	1.99616181e+03,	6.90020418e-01,	3.63894056e+04,	             0,	-4.28421789e+04,	0.00000000e+00
             2,	6.00000000e-01,	1.18984134e+04,	2.67818607e-07,	             0,	5.20055900e+02,	6.87741726e-01,	3.30772219e+04,	             0,	-3.54474542e+04,	0.00000000e+00
             3,	6.00000000e-01,	1.11331159e+04,	6.04695024e-07,	             0,	7.65297461e+02,	6.83105870e-01,	2.85456892e+04,	             0,	-3.38977481e+04,	0.00000000e+00
             4,	6.00000000e-01,	1.02801291e+04,	1.16996824e-06,	             0,	8.52986797e+02,	6.75623507e-01,	2.39376107e+04,	             0,	-3.15357093e+04,	0.00000000e+00
             5,	6.00000000e-01,	9.35705380e+03,	2.22801308e-06,	             0,	9.23075299e+02,	6.64879124e-01,	1.94777620e+04,	             0,	-2.89170755e+04,	0.00000000e+00
             6,	6.00000000e-01,	8.32972717e+03,	4.27565531e-06,	             0,	1.02732663e+03,	6.54846256e-01,	1.50617691e+04,	             0,	-2.61384030e+04,	0.00000000e+00
             7,	6.00000000e-01,	7.12170546e+03,	8.46855584e-06,	             0,	1.20802171e+03,	6.37112231e-01,	1.04675433e+04,	             0,	-2.31388871e+04,	0.00000000e+00
             8,	6.00000000e-01,	5.78914303e+03,	1.68331861e-05,	             0,	1.33256243e+03,	6.02328518e-01,	6.12700053e+03,	             0,	-1.96400395e+04,	0.00000000e+00
             9,	6.00000000e-01,	4.67084702e+03,	3.01322319e-05,	             0,	1.11829600e+03,	5.72026454e-01,	3.68249952e+03,	             0,	-1.56140012e+04,	0.00000000e+00
            10,	6.00000000e-01,	3.79057187e+03,	5.10927527e-05,	             0,	8.80275151e+02,	5.98453865e-01,	2.74625533e+03,	             0,	-1.22690779e+04,	0.00000000e+00
            11,	6.00000000e-01,	3.00951023e+03,	9.63082666e-05,	             0,	7.81061640e+02,	6.40816060e-01,	2.13507626e+03,	             0,	-9.84094232e+03,	0.00000000e+00
            12,	6.00000000e-01,	2.30487518e+03,	1.81266629e-04,	             0,	7.04635053e+02,	5.97270497e-01,	1.66618023e+03,	             0,	-7.83782892e+03,	0.00000000e+00
            13,	6.00000000e-01,	2.01584142e+03,	2.67514661e-04,	             0,	2.89033756e+02,	7.13525677e-01,	2.84295584e+03,	             0,	-5.89469398e+03,	0.00000000e+00
            14,	6.00000000e-01,	1.75856193e+03,	6.23317786e-05,	             2,	2.57279494e+02,	5.75950985e-01,	1.15947889e+03,	             2,	-5.57500502e+03,	0.00000000e+00
            15,	6.00000000e-01,	1.63666862e+03,	6.76448362e-05,	             0,	1.21893305e+02,	5.32902636e-01,	8.27428540e+02,	             2,	-4.23425562e+03,	0.00000000e+00
            16,	6.00000000e-01,	1.47452806e+03,	1.44837924e-04,	             0,	1.62140560e+02,	4.88546021e-01,	5.99256468e+02,	             2,	-3.81810091e+03,	0.00000000e+00
            17,	6.00000000e-01,	1.23945373e+03,	3.25895802e-04,	             0,	2.35074339e+02,	4.18294999e-01,	4.09523504e+02,	             2,	-3.33330711e+03,	0.00000000e+00
            18,	6.00000000e-01,	9.34779891e+02,	9.79996215e-04,	             0,	3.04673834e+02,	3.77863406e-01,	2.54907128e+02,	             2,	-2.62531097e+03,	0.00000000e+00
            19,	6.00000000e-01,	8.73022882e+02,	1.56198668e-03,	             0,	6.17570097e+01,	4.25664466e-01,	5.10135005e+02,	             2,	-1.53849094e+03,	0.00000000e+00
            20,	6.00000000e-01,	8.24213856e+02,	7.95365694e-05,	             4,	4.88090252e+01,	3.47026870e-01,	1.30031525e+02,	             6,	-2.32795331e+03,	0.00000000e+00
            21,	6.00000000e-01,	8.17680510e+02,	8.19204922e-05,	             0,	6.53334611e+00,	3.32224840e-01,	1.11686078e+02,	             6,	-1.44078103e+03,	0.00000000e+00
            22,	6.00000000e-01,	8.04996492e+02,	2.19932337e-04,	             0,	1.26840181e+01,	3.08691588e-01,	9.01916993e+01,	             6,	-1.38839668e+03,	0.00000000e+00
            23,	6.00000000e-01,	7.82862541e+02,	5.66961404e-04,	             0,	2.21339513e+01,	2.77716137e-01,	7.00802066e+01,	             6,	-1.30974680e+03,	0.00000000e+00
            24,	6.00000000e-01,	7.42115387e+02,	1.83579316e-03,	             0,	4.07471540e+01,	2.34987915e-01,	4.32499473e+01,	             6,	-1.23535936e+03,	0.00000000e+00
            25,	6.00000000e-01,	6.99391218e+02,	5.61634809e-03,	             0,	4.27241687e+01,	2.15788928e-01,	1.75446123e+01,	             6,	-1.16914214e+03,	0.00000000e+00
