gl, gll, cheb, eq, opt
4.000000000000000000e+00,4.279886732655342030e+00,4.199799710155065036e+00,4.245318901971097070e+00,4.078028273343310417e+00,3.986608409939770503e+00
5.000000000000000000e+00,3.710486718912175075e+00,3.352164554649828876e+00,3.491476606823481710e+00,3.254590628812096931e+00,3.231381861918769083e+00
6.000000000000000000e+00,3.011649110366883431e+00,2.678319058248294304e+00,2.842164182639884462e+00,2.317216945406723294e+00,2.311981989179720198e+00
7.000000000000000000e+00,2.199344376845324245e+00,2.059215183411807537e+00,2.039460464555849839e+00,1.954573997062936774e+00,1.938540132729955623e+00
8.000000000000000000e+00,1.714503793073252513e+00,1.310555017721247273e+00,1.440942973725305221e+00,1.638364993212187759e+00,1.308766760718742761e+00
9.000000000000000000e+00,1.605213923797763842e+00,1.160993276066101254e+00,1.350274088930052185e+00,1.359269678620869115e+00,9.656493573840891909e-01
1.000000000000000000e+01,1.104607836814378796e+00,9.013924624537172914e-01,9.989750196150712913e-01,1.118965796460415163e+00,7.452186665025061219e-01
1.100000000000000000e+01,8.675780642199185655e-01,7.071975428538597175e-01,7.851298780366811059e-01,9.396122901229206903e-01,5.994546851776838547e-01
1.200000000000000000e+01,6.933927866306279775e-01,5.841825386448629143e-01,6.297091273546978618e-01,7.926035265809228125e-01,4.872970578127598928e-01
1.300000000000000000e+01,5.661633367846500287e-01,4.760987836108961924e-01,5.093578558500928555e-01,6.768839237058192904e-01,4.169636527342828747e-01
1.400000000000000000e+01,4.625128334966359667e-01,3.947130721668032360e-01,4.286750744517161538e-01,5.781722814638430297e-01,3.414956263578108886e-01
1.500000000000000000e+01,3.934914780851712091e-01,3.428050125876385690e-01,3.677650526737011316e-01,5.043326999635432406e-01,2.925166843675602868e-01
1.600000000000000000e+01,3.312038754842134280e-01,2.938961722705257795e-01,3.088697391862777475e-01,4.408330841711808334e-01,2.549429085555904306e-01
1.700000000000000000e+01,2.910412468320071611e-01,2.573557531336663762e-01,2.716924323692188614e-01,3.903491360261512888e-01,2.244210579926829985e-01
1.800000000000000000e+01,2.532530220479933813e-01,2.269426090880662661e-01,2.385144990336166004e-01,3.455205175618482616e-01,2.002175905547680657e-01
1.900000000000000000e+01,2.262559304828336282e-01,2.037167676688520501e-01,2.118427216350897979e-01,3.122810667029558562e-01,1.780898215436240439e-01
