,Program_AOT,KernelName,Time_AOT,Time_JIT,Speedup
0,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::operator=(double)::lambda(int)>(int,mfem::Vector::operator=(double)::lambda(int))",3.5e-05,1.9999999999999998e-05,1.75
1,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::operator=(double)::lambda(int)>(int,mfem::Vector::operator=(double)::lambda(int))",3.5e-05,3.6e-05,0.9722222222222221
2,BP2VectorMassOrder=3,nan,4.4999999999999996e-05,4.1e-05,1.097560975609756
3,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",9.9e-05,1.4e-05,7.071428571428571
4,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",9.9e-05,0.000101,0.9801980198019801
5,BP2VectorMassOrder=3,"mfem::HipKernel3D<mfem::internal::quadrature_interpolator::Det3D<2,4,true>(int,const*,const*,const*,double*,int,int,mfem::Vector*)::lambda(int)>(int,mfem::internal::quadrature_interpolator::Det3D<2,4,true>(int,const*,const*,const*,double*,int,int,mfem::Vector*)::lambda(int))",0.00020099999999999998,0.000126,1.5952380952380951
6,BP2VectorMassOrder=3,"mfem::HipKernel2D<mfem::DLFEvalAssemble3D<4,4>(int,int,int,int,int,const*,const*,const*,const*,mfem::Vectorconst&,double*)::lambda(int)>(int,mfem::DLFEvalAssemble3D<4,4>(int,int,int,int,int,const*,const*,const*,const*,mfem::Vectorconst&,double*)::lambda(int))",0.000731,0.000703,1.0398293029871977
7,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::ElementRestriction::TAddMultTranspose<false>(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ElementRestriction::TAddMultTranspose<false>(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",0.000547,0.000545,1.003669724770642
8,BP2VectorMassOrder=3,"mfem::HipKernel3D<mfem::internal::quadrature_interpolator::Values3D<(mfem::QVectorLayout)0,3,2,5>(int,const*,const*,double*,int,int,int)::lambda(int)>(int,mfem::internal::quadrature_interpolator::Values3D<(mfem::QVectorLayout)0,3,2,5>(int,const*,const*,double*,int,int,int)::lambda(int))",0.00037299999999999996,0.000159,2.3459119496855343
9,BP2VectorMassOrder=3,"mfem::HipKernel3D<mfem::internal::quadrature_interpolator::Derivatives3D<(mfem::QVectorLayout)0,false,3,2,5>(int,const*,const*,const*,const*,double*,int,int,int,int)::lambda(int)>(int,mfem::internal::quadrature_interpolator::Derivatives3D<(mfem::QVectorLayout)0,false,3,2,5>(int,const*,const*,const*,const*,double*,int,int,int,int)::lambda(int))",0.000676,0.00033999999999999997,1.988235294117647
10,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::VectorMassIntegrator::AssemblePA(mfem::FiniteElementSpaceconst&)::lambda(int)>(int,mfem::VectorMassIntegrator::AssemblePA(mfem::FiniteElementSpaceconst&)::lambda(int))",0.0046,0.0046,1.0
11,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",8e-06,7e-06,1.1428571428571428
12,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",8e-06,1.6e-05,0.5
13,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",8e-06,6e-06,1.3333333333333333
14,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",1.6e-05,7e-06,2.2857142857142856
15,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",1.6e-05,1.6e-05,1.0
16,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",1.6e-05,6e-06,2.6666666666666665
17,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",4.9999999999999996e-06,7e-06,0.7142857142857142
18,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",4.9999999999999996e-06,1.6e-05,0.3125
19,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",4.9999999999999996e-06,6e-06,0.8333333333333333
20,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",9.999999999999999e-06,8e-06,1.25
21,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",9.999999999999999e-06,7e-06,1.4285714285714284
22,BP2VectorMassOrder=3,"mfem::HipKernel1D<mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",6e-06,8e-06,0.75
