,KernelName,Time_AOT,Time_JIT,Speedup
0,"mfem::HipKernel1D<mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int)>(int,mfem::ConstrainedOperator::ConstrainedMult(mfem::Vectorconst&,mfem::Vector&,bool)const::lambda(int))",4e-06,4e-06,1.0
1,"mfem::HipKernel1D<mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ConstrainedOperator::EliminateRHS(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",3e-06,3e-06,1.0
2,"mfem::HipKernel1D<mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ElementRestriction::Mult(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",5e-06,4e-06,1.2500000000000002
3,"mfem::HipKernel1D<mfem::ElementRestriction::TAddMultTranspose<false>(mfem::Vectorconst&,mfem::Vector&)const::lambda(int)>(int,mfem::ElementRestriction::TAddMultTranspose<false>(mfem::Vectorconst&,mfem::Vector&)const::lambda(int))",1.3e-05,1.3e-05,1.0
4,"mfem::HipKernel1D<mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int)>(int,mfem::Vector::SetSubVectorComplement(mfem::Array<int>const&,double)::lambda(int))",2e-06,2e-06,1.0
5,"mfem::HipKernel1D<mfem::Vector::operator-=(mfem::Vectorconst&)::lambda(int)>(int,mfem::Vector::operator-=(mfem::Vectorconst&)::lambda(int))",4e-06,4e-06,1.0
6,"mfem::HipKernel1D<mfem::Vector::operator=(double)::lambda(int)>(int,mfem::Vector::operator=(double)::lambda(int))",2e-06,2e-06,1.0
7,"mfem::HipKernel1D<mfem::add(mfem::Vectorconst&,double,mfem::Vectorconst&,mfem::Vector&)::lambda(int)>(int,mfem::add(mfem::Vectorconst&,double,mfem::Vectorconst&,mfem::Vector&)::lambda(int))",4e-06,4e-06,1.0
8,"mfem::HipKernel2D<mfem::DLFEvalAssemble3D<2,2>(int,int,int,int,int,const*,const*,const*,const*,mfem::Vectorconst&,double*)::lambda(int)>(int,mfem::DLFEvalAssemble3D<2,2>(int,int,int,int,int,const*,const*,const*,const*,mfem::Vectorconst&,double*)::lambda(int))",0.000101,8.1e-05,1.2469135802469136
9,"mfem::HipKernel2D<mfem::internal::reduction_kernel<mfem::Vector::operator*(mfem::Vectorconst&)const::lambda()::operator()()const::lambda(int,double&),mfem::SumReducer<double>>>(int,mfem::internal::reduction_kernel<mfem::Vector::operator*(mfem::Vectorconst&)const::lambda()::operator()()const::lambda(int,double&),mfem::SumReducer<double>>)",4e-06,4e-06,1.0
10,"mfem::HipKernel3D<mfem::internal::PADiffusionSetup3D(int,int,int,mfem::Array<double>const&,mfem::Vectorconst&,mfem::Vectorconst&,mfem::Vector&)::lambda(int)>(int,mfem::internal::PADiffusionSetup3D(int,int,int,mfem::Array<double>const&,mfem::Vectorconst&,mfem::Vectorconst&,mfem::Vector&)::lambda(int))",8.8e-05,7.7e-05,1.1428571428571428
11,"mfem::HipKernel3D<mfem::internal::SmemPADiffusionApply3D<2,2>(int,bool,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Vectorconst&,mfem::Vectorconst&,mfem::Vector&,int,int)::lambda(int)>(int,mfem::internal::SmemPADiffusionApply3D<2,2>(int,bool,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Array<double>const&,mfem::Vectorconst&,mfem::Vectorconst&,mfem::Vector&,int,int)::lambda(int))",0.000103,6.6e-05,1.5606060606060603
12,"mfem::HipKernel3D<mfem::internal::quadrature_interpolator::Derivatives3D<(mfem::QVectorLayout)0,false,0,0,0>(int,const*,const*,const*,const*,double*,int,int,int,int)::lambda(int)>(int,mfem::internal::quadrature_interpolator::Derivatives3D<(mfem::QVectorLayout)0,false,0,0,0>(int,const*,const*,const*,const*,double*,int,int,int,int)::lambda(int))",0.001623,0.001011,1.6053412462908014
13,"mfem::HipKernel3D<mfem::internal::quadrature_interpolator::Det3D<0,0,true>(int,const*,const*,const*,double*,int,int,mfem::Vector*)::lambda(int)>(int,mfem::internal::quadrature_interpolator::Det3D<0,0,true>(int,const*,const*,const*,double*,int,int,mfem::Vector*)::lambda(int))",0.000723,0.000591,1.2233502538071066
